"resume_text,category"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"statistics  python  pandas numpy data analysis visualization,Data Scientist"
"java python data structures algorithms coding,Software Engineer"
"backend development node js express api sql,Software Engineer"
"frontend html css javascript react web development,Software Engineer"
"full stack development java spring boot api,Software Engineer"
"software testing debugging problem solving coding,Software Engineer"
"object oriented programming java python development,Software Engineer"
"database mysql mongodb backend api development,Software Engineer"
"web development frontend backend javascript react,Software Engineer"
"api development rest services java spring boot,Software Engineer"
"coding algorithms data structures problem solving,Software Engineer"

"machine learning  tensorflow keras deep learning models neural networks,ML Engineer"
"machine learning  tensorflow keras deep learning modelsneural networks,ML Engineer"
"machine learning  tensorflow keras deep learning modelsneural networks,ML Engineer"
"machine learning  tensorflow keras deep learning modelsneural networks,ML Engineer"
"machine learning  tensorflow keras deep learning modelsneural networks,ML Engineer"
"machine learning  tensorflow keras deep learning modelsneural networks,ML Engineer"
"machine learning  tensorflow keras deep learning modelsneural networks,ML Engineer"
"machine learning  tensorflow keras deep learning modelsneural networks,ML Engineer"
"machine learning  tensorflow keras deep learning modelsneural networks,ML Engineer"
"machine learning  tensorflow keras deep learning modelsneural networks,ML Engineer"

"business analysis stakeholder communication excel reporting,Business Analyst"
"requirement gathering business process documentation,Business Analyst"
"sql data analysis dashboards power bi tableau,Business Analyst"
"business intelligence reporting kpi tracking analysis,Business Analyst"
"gap analysis process improvement business strategy,Business Analyst"
"market analysis business reporting excel dashboards,Business Analyst"
"data analysis business insights reporting communication,Business Analyst"
"excel pivot tables vlookup business reporting,Business Analyst"
"business requirements documentation stakeholder analysis,Business Analyst"
"business requirements documentation stakeholder analysis,Business Analyst"
"business requirements documentation stakeholder analysis,Business Analyst"
"business requirements documentation stakeholder analysis,Business Analyst"
"business requirements documentation stakeholder analysis,Business Analyst"
"business requirements documentation stakeholder analysis,Business Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
"data analysis sql busines insights  data cleaningpower bi excel dashboard tablue probability,Data Analyst"
